identifier,best_affinity_kcal_mol,runtime_seconds
CNP0549496.1,-8.039,87.3
CNP0550183.0,-6.513,15.2
CNP0550309.0,-5.919,23.8
CNP0550710.0,-5.085,5.2
CNP0551523.1,-7.133,164.9
CNP0552047.1,-4.047,8.4
CNP0552964.1,-4.444,10.8
CNP0553116.1,-6.603,56.4
CNP0553236.0,-5.052,22.8
CNP0554873.1,-5.055,51.8
CNP0554973.0,-4.162,5.6
CNP0555999.1,-5.763,26.8
CNP0556035.1,-6.094,168.2
CNP0556220.1,-7.118,86.0
CNP0556235.0,-5.989,42.8
CNP0556728.0,-5.537,103.1
CNP0556781.0,-6.788,26.1
CNP0557472.3,-7.401,49.8
CNP0558437.1,-7.153,37.4
CNP0558567.0,-8.9,18.0
CNP0558808.3,-5.351,69.1
CNP0559444.1,-5.736,54.3
CNP0559900.1,-6.06,128.9
CNP0560480.0,-7.917,85.1
CNP0560965.1,-4.881,8.2
CNP0562598.1,-6.935,228.0
CNP0563398.0,-6.143,22.2
CNP0563483.0,-5.402,20.1
CNP0563770.0,-5.641,8.6
CNP0564201.0,-4.754,159.8
CNP0564339.0,-5.487,9.7
CNP0566318.1,-5.417,27.8
CNP0567230.1,-5.157,55.1
CNP0568897.1,-4.294,28.2
CNP0568961.0,-5.768,20.4
CNP0569236.1,-6.325,25.3
CNP0569319.0,-6.017,104.2
CNP0569397.0,-7.268,59.3
CNP0569949.1,-8.051,53.7
CNP0571460.1,-5.195,77.0
CNP0572135.1,-4.632,8.7
CNP0572203.0,-4.778,30.6
CNP0572274.0,-7.127,100.8
CNP0572521.1,-5.032,32.1
CNP0572548.1,-5.878,36.6
CNP0573009.0,-5.349,48.5
CNP0573118.2,-6.335,66.6
CNP0573506.1,-5.009,35.1
CNP0573565.0,-6.846,119.8
CNP0573577.2,-6.004,109.1
CNP0573812.1,-6.305,99.4
CNP0573813.1,-6.713,81.2
CNP0574040.0,-6.018,76.7
CNP0574256.1,-6.85,13.6
CNP0574426.1,-6.33,22.3
CNP0575497.0,-6.361,63.0
CNP0576049.1,-6.114,29.3
CNP0576892.0,-4.244,23.0
CNP0577071.1,-7.054,77.6
CNP0577775.1,-5.627,43.8
CNP0577945.0,-7.762,58.8
CNP0578490.0,-3.115,4.6
CNP0578737.1,-5.607,161.9
CNP0579544.1,-5.413,16.0
CNP0580055.0,-6.222,78.2
CNP0581091.0,-5.317,13.0
CNP0581238.0,-5.426,9.5
CNP0581302.0,-5.842,47.9
CNP0581313.0,-6.007,16.9
CNP0581752.1,-7.304,60.3
CNP0582409.2,-7.522,136.4
CNP0583037.0,-7.104,106.3
CNP0583988.1,-5.667,39.4
CNP0584496.1,-7.753,136.6
CNP0584884.0,-5.404,123.0
CNP0585327.0,-6.763,37.1
CNP0585697.0,-6.711,31.2
CNP0586031.1,-5.913,62.1
CNP0586643.1,-6.219,43.1
CNP0587376.1,-7.815,241.4
CNP0587729.0,-6.138,23.1
CNP0587841.1,-4.769,65.5
CNP0587944.1,-5.075,124.0
CNP0588422.1,-7.889,19.1
CNP0588890.1,-5.475,119.4
CNP0589762.1,-6.74,22.5
CNP0590612.1,-5.505,27.4
CNP0591158.0,-6.935,21.9
CNP0591347.0,-4.868,14.3
CNP0591419.1,-7.202,35.8
CNP0591628.1,-5.612,46.2
CNP0593115.1,-5.56,95.3
CNP0593555.0,-5.355,28.0
CNP0593712.0,-4.792,11.0
CNP0594516.1,-8.301,25.6
CNP0598020.1,-4.876,11.8
CNP0598126.1,-8.004,108.5
CNP0598571.2,-5.845,10.8
CNP0598625.1,-6.03,9.7
CNP0598841.1,-7.074,60.5
CNP0598889.1,-3.912,10.8
CNP0599148.1,-6.368,153.8
CNP0599466.2,-5.764,34.9
CNP0600818.1,-5.492,87.8
CNP0601614.1,-5.856,107.8
CNP0601698.1,-5.625,67.0
CNP0602284.1,-6.633,146.9
CNP0602403.0,-6.347,34.8
CNP0602508.0,-5.779,11.4
CNP0602697.1,-4.0,14.6
CNP0602988.1,-6.549,74.4
CNP0603459.1,-7.029,26.2
CNP0604221.0,-6.722,25.8
CNP0604899.0,-3.808,11.5
