identifier,canonical_smiles,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,qed_drug_likeliness,np_classifier_superclass,parent_family,pains_alert,DsbA_affinity,Irp3_affinity,row_idx,UMAP1,UMAP2,consensus_score,heavy_atom_count,DsbA_LE,Irp3_LE,consensus_LE
CNP0529226.0,N=C(N)N1C=NC=N1,111.11,-0.98,80.58,0,4,2,0,0.33,Pseudoalkaloids,Alkaloids,False,-3.951,-4.289,30130,4.0056686,4.760032,-4.12,8,0.493875,0.536125,0.515
CNP0362387.1,C#CC=CC[C@H]1C[C@H]([C@@H]2C[C@@H](Br)[C@H](CC)O2)C[C@@H]1Br,390.16,4.69,9.23,4,1,0,0,0.5,Diterpenoids,Terpenoids,False,-5.113,-6.868,39590,0.2269261,4.7785945,-5.990500000000001,19,0.26910526315789474,0.36147368421052634,0.31528947368421056
CNP0183690.1,C[C@H]1CC[C@H]2[C@H](C)CC[C@@H](/C(C=O)=C\C(=O)O)N2C1,265.35,2.1,57.61,3,3,1,0,0.63,Lysine alkaloids,Alkaloids,False,-5.503,-7.412,128371,1.3809388,4.9153104,-6.4575,19,0.2896315789473684,0.39010526315789473,0.3398684210526316
CNP0482940.0,[O-][N+]1=CC=NC(O)=C1,112.09,-0.58,60.06,0,3,1,0,0.36,Nicotinic acid alkaloids,Alkaloids,False,-3.73,-4.197,209389,5.4458227,6.3544874,-3.9635,8,0.46625,0.524625,0.4954375
CNP0002551.0,CCCC1NCCS1,131.24,1.45,12.03,2,2,1,0,0.61,Pseudoalkaloids,Alkaloids,False,-3.671,-4.017,268553,1.6829453,4.2495604,-3.8440000000000003,8,0.458875,0.502125,0.48050000000000004
CNP0363284.1,COC1=C(C)C(=O)O/C1=C1/OC2=CC[C@@H]3CC[C@](O)(CC4CCCCC4)[C@@H]4CCC[C@@H]([C@H]2[C@@H]1C)N34,483.65,5.33,68.23,3,6,1,1,0.55,Ornithine alkaloids,Alkaloids,False,-6.981,-9.598,105593,1.0453056,7.5801325,-8.2895,35,0.19945714285714286,0.27422857142857143,0.23684285714285713
CNP0239902.4,O=C1NC(=O)[C@@H](C[C@H]2CNC(=O)C3=CC(Br)=C(Br)N32)N1,406.03,0.9,92.23,2,4,3,0,0.64,Histidine alkaloids,Alkaloids,False,-6.266,-7.069,141940,3.0471525,5.23341,-6.6675,20,0.3133,0.35345,0.333375
CNP0572274.0,CCC1=CN=C(N2CCC(C3=NC(COC4=CC=C(N5C=NN=N5)C=C4)=CS3)CC2)N=C1,448.56,3.43,94.74,7,10,0,0,0.42,Nicotinic acid alkaloids,Alkaloids,False,-7.127,-9.31,222839,3.2733605,5.974415,-8.2185,32,0.22271875,0.2909375,0.256828125
CNP0554873.1,CC[C@@H]1CN(C(=O)CC(C)C)[C@H](CO)[C@@H]1CN1CCOCC1,312.45,1.21,53.01,6,4,1,0,0.8,Ornithine alkaloids,Alkaloids,False,-5.055,-6.494,223937,1.0906928,4.8789916,-5.7745,22,0.22977272727272727,0.29518181818181816,0.2624772727272727
CNP0345195.0,CC(C)=C1CCS(=O)(=O)CC1,174.26,1.53,34.14,0,2,0,0,0.52,Monoterpenoids,Terpenoids,False,-4.64,-5.791,339,1.0732429,5.3232274,-5.2155000000000005,11,0.4218181818181818,0.5264545454545455,0.4741363636363637
