identifier,best_affinity_kcal_mol,runtime_seconds
CNP0362727.1,-6.57,16.6
CNP0363284.1,-9.598,57.9
CNP0365946.4,-7.177,24.3
CNP0366480.1,-8.055,21.7
CNP0368255.0,-4.832,7.4
CNP0368674.1,-5.446,9.7
CNP0368768.1,-9.719,25.8
CNP0369981.1,-7.916,240.1
CNP0370701.2,-8.983,28.2
CNP0373030.1,-9.494,18.7
CNP0373990.2,-6.902,23.5
CNP0374284.1,-8.991,31.0
CNP0376192.1,-7.566,53.7
CNP0378121.1,-8.849,21.1
CNP0378324.1,-7.787,10.9
CNP0379619.2,-7.82,105.9
CNP0381361.0,-5.91,10.4
CNP0382681.1,-7.619,10.2
CNP0383594.1,-8.563,236.7
CNP0383885.0,-9.64,28.4
CNP0386303.1,-7.345,36.7
CNP0386414.0,-4.205,5.0
CNP0386869.0,-7.125,24.0
CNP0387584.1,-8.565,34.9
CNP0389085.1,-4.938,23.0
CNP0389872.0,-4.854,7.7
CNP0389920.1,-9.358,78.7
CNP0392583.1,-8.145,19.3
CNP0395465.0,-7.503,39.8
CNP0397182.1,-8.368,9.6
CNP0398728.1,-8.419,60.9
CNP0401624.1,-8.738,33.6
CNP0403214.0,-6.414,26.5
CNP0404493.2,-10.75,65.5
CNP0406014.0,-7.4,7.0
CNP0406191.0,-7.143,16.5
CNP0406293.1,-3.74,10.0
CNP0411181.1,-5.419,9.1
CNP0412296.0,-11.15,68.2
CNP0412799.1,-8.924,15.3
CNP0414061.1,-7.376,24.0
CNP0416314.1,-7.872,216.0
CNP0417205.1,-8.502,35.3
CNP0417750.0,-7.867,32.3
CNP0418506.0,-7.432,13.1
CNP0421383.2,-7.42,11.6
CNP0423677.1,-10.17,122.3
CNP0423831.1,-9.53,139.4
CNP0425271.1,-8.137,116.2
CNP0425672.1,-6.15,12.4
CNP0426943.1,-10.61,24.6
CNP0427275.1,-9.628,48.0
CNP0428306.0,-5.942,7.5
CNP0428515.1,-7.731,157.0
CNP0428586.1,-10.09,23.4
CNP0428769.1,-7.446,30.4
CNP0428794.1,-7.265,15.5
CNP0428852.0,-8.414,12.9
CNP0429432.1,-7.689,32.4
CNP0430222.1,-7.99,54.3
CNP0430255.1,-9.709,95.5
CNP0430959.1,-9.713,101.9
CNP0430980.0,-10.52,140.9
CNP0431627.1,-7.48,222.3
CNP0432088.2,-7.637,42.4
CNP0433126.1,-8.77,222.0
CNP0434138.1,-7.461,175.3
CNP0434251.1,-8.865,26.1
CNP0435015.0,-6.563,21.8
CNP0436699.1,-7.765,8.5
CNP0437535.0,-9.235,61.8
CNP0437887.0,-8.999,26.5
CNP0439494.1,-9.443,125.6
CNP0440027.1,-7.736,65.1
CNP0440578.1,-8.023,57.9
CNP0441979.0,-5.035,8.0
CNP0442068.0,-7.456,35.0
CNP0443182.1,-8.488,133.7
CNP0443307.0,-5.593,33.6
CNP0443556.1,-6.611,25.7
CNP0444001.0,-7.889,14.8
CNP0444707.0,-7.717,16.4
CNP0445140.1,-7.763,232.0
CNP0445227.0,-6.782,19.9
CNP0446937.0,-4.65,7.8
CNP0450582.1,-6.138,36.9
CNP0450591.0,-8.614,25.7
CNP0451571.0,-4.697,53.2
CNP0452034.0,-4.515,16.1
CNP0452806.3,-6.867,28.0
CNP0453177.1,-9.989,38.9
CNP0453909.1,-6.903,30.5
CNP0455382.1,-8.221,101.1
CNP0455920.1,-8.225,48.0
CNP0458406.0,-4.613,10.5
CNP0460949.2,-9.723,144.0
CNP0460991.0,-4.183,46.6
CNP0461222.2,-8.996,23.8
CNP0461802.2,-9.238,65.9
CNP0461824.1,-9.021,46.6
CNP0461847.0,-5.379,104.5
CNP0463007.2,-8.215,49.6
CNP0463080.2,-7.461,26.7
CNP0464450.1,-7.845,43.6
CNP0465194.0,-6.735,18.6
CNP0466069.1,-5.706,66.9
CNP0467281.2,-8.832,15.8
CNP0468987.1,-7.409,37.8
CNP0469506.1,-5.692,9.8
CNP0470505.0,-8.328,10.4
CNP0471385.3,-6.706,14.0
CNP0471405.1,-6.135,14.2
CNP0471652.0,-8.204,50.5
CNP0472359.1,-7.161,63.7
CNP0475234.1,-8.705,35.0
CNP0475545.0,-4.274,66.4
CNP0475646.1,-8.919,115.1
CNP0477351.1,-5.468,13.3
CNP0478004.1,-7.212,98.6
CNP0478794.1,-7.428,96.4
CNP0478949.0,-9.244,48.1
CNP0479057.0,-5.902,32.9
CNP0479615.1,-5.917,16.0
CNP0479694.1,-8.43,43.3
CNP0481338.0,-7.218,71.3
CNP0482120.0,-3.574,4.2
CNP0482924.1,-7.15,44.7
CNP0482940.0,-4.197,8.4
CNP0483210.0,-8.219,42.3
CNP0483698.0,-7.717,76.8
CNP0483734.3,-6.92,80.7
CNP0484036.0,-9.104,23.4
CNP0484133.0,-6.029,7.5
CNP0486200.0,-6.293,9.8
CNP0487793.1,-5.283,33.2
CNP0488531.1,-8.842,34.9
CNP0489126.1,-10.24,63.8
CNP0490192.1,-7.713,59.6
CNP0490876.1,-9.158,76.6
CNP0491827.0,-8.343,69.9
